1	12.981.123/0001-13	TELEFONE	teste 1	teste 2	2025-06-10 18:54:32.102053
2	54.072.914/0001-97	\N	-	\N	2025-06-10 19:49:54.698559
3	40.864.613/0001-91	E-MAIL	agendamento@aebalimentos.com.br	\N	2025-06-10 19:49:54.70274
4	04.757.459/0022-10	\N	-	\N	2025-06-10 19:49:54.73447
5	04.757.459/0005-19	\N	-	\N	2025-06-10 19:49:54.737575
6	04.757.459/0025-62	\N	-	\N	2025-06-10 19:49:54.740364
7	12.225.492/0001-00	\N	-	\N	2025-06-10 19:49:54.742464
8	11.730.775/0001-39	\N	-	\N	2025-06-10 19:49:54.745488
9	15.605.575/0001-05	\N	-	\N	2025-06-10 19:49:54.747428
10	07.620.045/0001-08	E-MAIL	entrada@hbalimentos.com.br  / hbalimentos@pop.com.br  / compras@hbalimentos.com.br	\N	2025-06-10 19:49:54.749563
11	15.436.940/0003-67	PORTAL	https://carriercentral.amazon.com.br/	\N	2025-06-10 19:49:54.752107
12	26.452.694/0001-91	E-MAIL	agendamento@amorix.com.br	\N	2025-06-10 19:49:54.754257
13	08.365.731/0001-42	\N	-	\N	2025-06-10 19:49:54.756757
14	10.237.062/0001-75	TELEFONE	+55 71 9274-0073	\N	2025-06-10 19:49:54.759284
15	04.375.499/0001-72	\N	-	\N	2025-06-10 19:49:54.761245
16	08.681.007/0002-09	\N	-	\N	2025-06-10 19:49:54.763906
17	23.439.441/0062-01	PORTAL	https://grupomateus.runteccorp.com/perfil	\N	2025-06-10 19:49:54.765674
18	23.439.441/0057-44	PORTAL	https://grupomateus.runteccorp.com/perfil	\N	2025-06-10 19:49:54.767879
19	36.289.668/0001-48	\N	-	\N	2025-06-10 19:49:54.77125
20	19.064.035/0001-12	\N	-	\N	2025-06-10 19:49:54.77316
21	06.057.223/0557-40	PORTAL	https://plataforma.trizy.com.br/#/product-home	\N	2025-06-10 19:49:54.775098
22	06.057.223/0515-90	PORTAL	https://plataforma.trizy.com.br/#/product-home	\N	2025-06-10 19:49:54.776866
23	93.209.765/0567-67	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.77905
24	75.315.333/0001-09	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.780846
25	75.315.333/0101-71	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.78271
26	75.315.333/0102-52	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.784481
27	75.315.333/0103-33	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.789303
28	75.315.333/0104-14	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.792126
29	75.315.333/0105-03	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.796346
30	75.315.333/0107-67	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.800201
31	75.315.333/0109-29	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.803226
32	75.315.333/0110-62	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.809258
33	75.315.333/0111-43	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.813616
34	75.315.333/0113-05	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.815692
35	75.315.333/0114-96	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.81828
36	75.315.333/0115-77	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.82027
37	75.315.333/0117-39	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.823331
38	75.315.333/0118-10	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.908666
39	75.315.333/0119-09	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.911955
40	75.315.333/0120-34	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.916608
41	75.315.333/0121-15	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.919319
42	75.315.333/0122-04	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:54.921415
43	75.315.333/0123-87	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:55.008883
44	75.315.333/0124-68	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:55.01234
45	75.315.333/0125-49	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:55.015823
46	75.315.333/0126-20	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:55.019202
47	75.315.333/0127-00	PORTAL	https://atacadao.hodiebooking.com.br/	\N	2025-06-10 19:49:55.023361
