1	faturamento	Faturamento	\N	💰	#28a745	t	1	2025-07-21 22:59:54.615832
2	carteira	Carteira de Pedidos	\N	📋	#007bff	t	2	2025-07-21 22:59:54.619497
3	monitoramento	Monitoramento	\N	📊	#17a2b8	t	3	2025-07-21 22:59:54.622153
4	embarques	Embarques	\N	🚛	#fd7e14	t	4	2025-07-21 22:59:54.624806
5	portaria	Portaria	\N	🚪	#6c757d	t	5	2025-07-21 22:59:54.627584
6	financeiro	Financeiro	\N	💳	#dc3545	t	6	2025-07-21 22:59:54.630531
7	usuarios	Gestão de Usuários	\N	👥	#6f42c1	t	7	2025-07-21 22:59:54.633506
8	admin	Administração	\N	⚙️	#343a40	t	8	2025-07-21 22:59:54.636109
\.


