40	5	09.182.947/0011-07	MERCANTIL RODRIGUES	36	FRACIONADA	FRETE PESO	BA	Salvador	1294.66	15627.06	1	136032	CAPITAL	0.94	0	83.84	0	\N	0.35	3.5	0	0	0	0	0	f	0.07	1416.32	1416.32	1416.32	1416.32	191623	\N	2025-06-26	27	CONFERIDO	f	\N	\N		f	2025-06-13 22:28:53.531123	Rafael de Carvalho Nascimento	2025-06-23 14:52:37.02795	Rafael de Carvalho Nascimento
133	152	07.570.682/0002-06	SOLMAR	152	DIRETA	3/4	SP	Guarulhos	4189	46572	1	136220	ÚNICO	0	0	1	0	0.12	0	0	0	0	0	0	0	f	0.12	1.14	\N	1.14	\N	\N	\N	\N	\N	PENDENTE	f	\N	\N	\N	f	2025-06-20 13:23:40.568014	Stephanie Macena Rodrigues Chaves 	2025-06-20 13:23:40.56732	Stephanie Macena Rodrigues Chaves 
344	306	06.057.223/0503-57	REDE ASSAI LJ 273	68	DIRETA	FIORINO	SP	São Paulo	374.94	6339.4400000000005	2	136449,136450	FIXO / ROTA 3	0	0	270	0	0.12	0	0	0	0	0	0	0	t	0.12	200.84875900244035	200.84875900244035	200.84875900244035	200.84875900244035	Frete (30/06/2025) NFs 136449,136450	\N	2025-07-07	94	CONFERIDO	f	Michele Vivaldo	2025-07-04 13:38:46.270142	\N	f	2025-06-30 19:03:23.005233	Roseli Rodrigues 	2025-06-30 19:03:23.004731	Roseli Rodrigues 
1026	535	75.315.333/0103-33	ATACADAO 103	52	FRACIONADA	FRETE PESO	ES	Vila Velha	3908.92	31779.480000000003	1	137290	CAPITAL	0.7	0	189.45	0	\N	0.5	0	0	0	0	119.45	0	f	0.07	3241.5	\N	3241.5	\N	\N	\N	2025-08-14	232	PENDENTE	f	\N	\N	\N	f	2025-07-22 21:04:26.371594	TALITA DE LE LIMA	2025-07-22 21:04:26.369648	TALITA DE LE LIMA
479	417	08.809.987/0001-00	FRIALY	152	DIRETA	3/4	SP	Guarulhos	4452.95	54554.65	2	136878,136877	ÚNICO	0	0	1	0	0.12	0	0	0	0	0	0	0	f	0.12	1.14	\N	1.14	\N	\N	\N	\N	\N	PENDENTE	f	\N	\N	\N	f	2025-07-07 12:55:16.861787	Stephanie Macena Rodrigues Chaves 	2025-07-07 12:55:16.860308	Stephanie Macena Rodrigues Chaves 
616	506	06.353.864/0001-73	RONDELLI	135	FRACIONADA	FRETE PESO	BA	Eunápolis	955.53	9965.92	1	137173	EUNAPOLIS - POLO	1.03	0	124.18	0	\N	0.9	5.15	0	0	0	25	0	t	0.07	1150.39	1148.11	1148.11	1148.11	313088	\N	2025-09-02	214	CONFERIDO	f	\N	\N		f	2025-07-14 19:45:57.663253	Stephanie Macena Rodrigues Chaves 	2025-07-22 16:03:27.122169	TALITA DE LE LIMA
251	240	34.473.496/0001-32	CRISTAL	30	DIRETA	VAN/HR	SP	Guarulhos	345.67	4166.380000000001	1	136458	ESPORADICO / ROTA 6	0	0	520	0	0.12	0	0	0	0	0	0	0	t	0.12	197.01477486956904	197.01477486956904	197.01477486956904	197.01477486956904	Frete (25/06/2025) NFs 136458	\N	2025-06-30	52	APROVADO	f	Michele Vivaldo	2025-06-27 13:00:39.110144	\N	f	2025-06-25 15:59:01.176955	Stephanie Macena Rodrigues Chaves 	2025-06-25 15:59:01.173895	Stephanie Macena Rodrigues Chaves 
14	6	16.936.011/0001-18	RIOS ATACAREJO	135	FRACIONADA	FRETE PESO	BA	Itacaré	295.96	3637.93	1	135994	ITABUNA - REGIAO	1.1	0	124.18	0	\N	0.9	5.15	0	0	0	25	0	t	0.07	398.75	\N	398.75	\N	\N	\N	\N	\N	PENDENTE	f	\N	\N	\N	f	2025-06-13 15:18:49.181893	Rafael de Carvalho Nascimento	2025-06-13 15:18:49.181399	Rafael de Carvalho Nascimento
329	304	06.057.223/0481-07	REDE ASSAI LJ 244	66	DIRETA	FIORINO	SP	Piracicaba	327.2	5884.88	2	136417,136389	FIXO / ROTA 9	0	0	450	0	0.12	0	0	0	0	0	0	0	t	0.12	450	\N	450	\N	\N	\N	\N	\N	CANCELADO	f	\N	\N	\nCancelado automaticamente em 30/06/2025 17:33 por Thássia Silva devido ao cancelamento do embarque.	f	2025-06-30 11:56:39.261333	Thássia Silva	2025-06-30 11:56:39.259455	Thássia Silva
8	31	10.834.063/0001-05	MISTER PIZZA	52	FRACIONADA	FRETE PESO	ES	Vila Velha	176.16	2391.19	1	136019	CAPITAL	0.7	0	189.45	0	\N	0.5	0	0	0	0	119.45	0	f	0.07	273.89	273.88	273.88	273.88	36634	\N	2025-07-17	37	CONFERIDO	f	\N	\N		f	2025-06-13 15:18:48.235994	Rafael de Carvalho Nascimento	2025-06-24 14:47:24.941985	Michele Vivaldo
